0x7960 1509
0 makerom.zdata
1 boot.zdata
2 dmadata.zdata
3 Audiobank.zres
4 Audioseq.zres
5 Audiotable.zres
6 jpn_font_static.zdata
7 link_animetion.zdata
8 icon_item_static.zdata
9 icon_item_24_static.zdata
10 icon_item_field_static.zdata
11 icon_item_dungeon_static.zdata
12 icon_item_gameover_static.zdata
13 icon_item_jpn_static.zdata
14 icon_item_nes_static.zdata
15 item_name_static.zdata
16 map_name_static.zdata
17 do_action_static.zdata
18 message_static.zdata
19 jpn_message_data_static.ztxt
20 message_texture_static.zdata
21 nes_font_static.zdata
22 nes_message_data_static.ztxt
23 staff_message_data_static.ztxt
24 map_grand_static.zdata
25 map_i_static.zdata
26 map_48x85_static.zdata
27 code.zasm
28 z_n64dd_c.zdata
29 ovl_title.zactor
30 ovl_select.zactor
31 ovl_opening.zactor
32 ovl_file_choose.zactor
33 ovl_kaleido_scope.zactor
34 ovl_player_actor.zactor
35 ovl_map_mark_data.zactor
36 ovl_En_Test.zactor
37 ovl_En_GirlA.zactor
38 ovl_En_Part.zactor
39 ovl_En_Light.zactor
40 ovl_En_Door.zactor
41 ovl_En_Box.zactor
42 ovl_En_Poh.zactor
43 ovl_En_Okuta.zactor
44 ovl_En_Bom.zactor
45 ovl_En_Wallmas.zactor
46 ovl_En_Dodongo.zactor
47 ovl_En_Firefly.zactor
48 ovl_En_Horse.zactor
49 ovl_En_Arrow.zactor
50 ovl_En_Elf.zactor
51 ovl_En_Niw.zactor
52 ovl_En_Tite.zactor
53 ovl_En_Reeba.zactor
54 ovl_En_Peehat.zactor
55 ovl_En_Holl.zactor
56 ovl_En_Scene_Change.zactor
57 ovl_En_Zf.zactor
58 ovl_En_Hata.zactor
59 ovl_Boss_Dodongo.zactor
60 ovl_Boss_Goma.zactor
61 ovl_En_Zl1.zactor
62 ovl_En_Viewer.zactor
63 ovl_En_Goma.zactor
64 ovl_Bg_Pushbox.zactor
65 ovl_En_Bubble.zactor
66 ovl_Door_Shutter.zactor
67 ovl_En_Dodojr.zactor
68 ovl_En_Bdfire.zactor
69 ovl_En_Boom.zactor
70 ovl_En_Torch2.zactor
71 ovl_En_Bili.zactor
72 ovl_En_Tp.zactor
73 ovl_En_St.zactor
74 ovl_En_Bw.zactor
75 ovl_En_Eiyer.zactor
76 ovl_En_River_Sound.zactor
77 ovl_En_Horse_Normal.zactor
78 ovl_En_Ossan.zactor
79 ovl_Bg_Treemouth.zactor
80 ovl_Bg_Dodoago.zactor
81 ovl_Bg_Hidan_Dalm.zactor
82 ovl_Bg_Hidan_Hrock.zactor
83 ovl_En_Horse_Ganon.zactor
84 ovl_Bg_Hidan_Rock.zactor
85 ovl_Bg_Hidan_Rsekizou.zactor
86 ovl_Bg_Hidan_Sekizou.zactor
87 ovl_Bg_Hidan_Sima.zactor
88 ovl_Bg_Hidan_Syoku.zactor
89 ovl_En_Xc.zactor
90 ovl_Bg_Hidan_Curtain.zactor
91 ovl_Bg_Spot00_Hanebasi.zactor
92 ovl_En_Mb.zactor
93 ovl_En_Bombf.zactor
94 ovl_Bg_Hidan_Firewall.zactor
95 ovl_Bg_Dy_Yoseizo.zactor
96 ovl_En_Zl2.zactor
97 ovl_Bg_Hidan_Fslift.zactor
98 ovl_En_OE2.zactor
99 ovl_Bg_Ydan_Hasi.zactor
100 ovl_Bg_Ydan_Maruta.zactor
101 ovl_Boss_Ganondrof.zactor
102 ovl_En_Am.zactor
103 ovl_En_Dekubaba.zactor
104 ovl_En_M_Fire1.zactor
105 ovl_En_M_Thunder.zactor
106 ovl_Bg_Ddan_Jd.zactor
107 ovl_Bg_Breakwall.zactor
108 ovl_En_Jj.zactor
109 ovl_En_Horse_Zelda.zactor
110 ovl_Bg_Ddan_Kd.zactor
111 ovl_Door_Warp1.zactor
112 ovl_Obj_Syokudai.zactor
113 ovl_Item_B_Heart.zactor
114 ovl_En_Dekunuts.zactor
115 ovl_Bg_Menkuri_Kaiten.zactor
116 ovl_Bg_Menkuri_Eye.zactor
117 ovl_En_Vali.zactor
118 ovl_Bg_Mizu_Movebg.zactor
119 ovl_Bg_Mizu_Water.zactor
120 ovl_Arms_Hook.zactor
121 ovl_En_fHG.zactor
122 ovl_Bg_Mori_Hineri.zactor
123 ovl_En_Bb.zactor
124 ovl_Bg_Toki_Hikari.zactor
125 ovl_En_Yukabyun.zactor
126 ovl_Bg_Toki_Swd.zactor
127 ovl_En_Fhg_Fire.zactor
128 ovl_Bg_Mjin.zactor
129 ovl_Bg_Hidan_Kousi.zactor
130 ovl_Door_Toki.zactor
131 ovl_Bg_Hidan_Hamstep.zactor
132 ovl_En_Bird.zactor
133 ovl_En_Wood02.zactor
134 ovl_En_Lightbox.zactor
135 ovl_En_Pu_box.zactor
136 ovl_En_Trap.zactor
137 ovl_En_Arow_Trap.zactor
138 ovl_En_Vase.zactor
139 ovl_En_Ta.zactor
140 ovl_En_Tk.zactor
