ydan Deku_Tree
ydan_boss Deku_Tree_Boss
ddan Dodongo's_Cavern
ddan_boss Dodongo's_Cavern_Boss
bdan Inside_Jabu_Jabu's_Belly
bdan_boss Inside_Jabu_Jabu's_Belly_Boss
Bmori1 Forest_Temple
moribossroom Forest_Temple_Boss
HIDAN Fire_Temple
FIRE_bs Fire_Temple_Boss
MIZUsin Water_Temple
MIZUsin_bs Water_Temple_Boss
jyasinzou Spirit_Temple
jyasinboss Spirit_Temple_Boss
HAKAdan Shadow_Temple
HAKAdan_bs Shadow_Temple_Boss
HAKAdanCH Bottom_of_the_Well
ice_doukutu Ice_Cavern
gerudoway Thieves'_Hideout
men Gerudo_Training_Grounds
ganontika Inside_Ganon's_Castle
ganon Ganon's_Tower
ganon_boss Ganondorf_Boss_Room
ganon_final Tower_Collapse_Exterior
ganon_sonogo Tower_Collapse_Interior
ganontikasonogo Tower_Collapse_Exit
ganon_demo Ganon_Battle
kakusiana Grottos
yousei_izumi_tate Small_Fairy's_Fountain
daiyousei_izumi Great_Fairy's_Fountain_(Upgrades)
yousei_izumi_yoko Great_Fairy's_Fountain_(Spells)
spot00 Hyrule_Field
spot20 Lon_Lon_Ranch
souko Lon_Lon_Ranch_Buildings
malon_stable Stables
spot01 Kakariko_Village
kakariko Kakariko_Village_House
labo Impa's_House
drag Kakariko_Potion_Shop
mahouya Granny's_Potion_Shop
kinsuta House_of_Skulltula
hakasitarelay Dampe's_Grave--Windmill
spot02 Kakariko_Graveyard
hut Gravekeeper's_Hut
hakaana_ouke Royal_Family's_Tomb
hakaana Grave_with_Redead
hakaana2 Grave_with_Shield
spot04 Kokiri_Forest
kokiri_home4 Mido's_House
kokiri_home5 Saria's_House
link_home Link's_House
kokiri_shop Kokiri_Shop
kokiri_home Know-it-all_Brothers
kokiri_home3 House_of_Twins
spot10 Lost_Woods
spot05 Sacred_Forest_Meadow
spot16 Death_Mountain_Trail
spot17 Death_Mountain_Crater
spot18 Goron_City
golon Goron_Shop
spot06 Lake_Hylia
turibori Fishing_Pond
hylia_labo Lakeside_Laboratory
spot03 Zora'a_River
spot07 Zora's_Domain
zoora Zora_Shop
spot08 Zora's_Fountain
spot09 Gerudo_Valley
tent Carpenter's_Tent
spot12 Gerudo_Fortress
spot13 Haunted_Wasteland
spot11 Desert_Colossus
spot15 Hyrule_Castle
hairal_niwa Castle_Courtyard--Day
hairal_niwa_n Castle_Courtyard--Night
nakaniwa Zelda's_Courtyard
ganon_tou Ganon's_Castle
entra Market_Entrance--Child_Day
entra_n Market_Entrance--Child_Night
enrui Market_Entrance--Adult
miharigoya Guard_House
market_day Market--Child_Day
market_night Market--Child_Night
market_ruins Market--Adult
syatekijyou Shooting_Gallery
shop1 Bazaar
alley_shop Market_Potion_Shop
bowling Bombchu_Bowling_Alley
face_shop Happy_Mask_Shop
market_alley Back_Alley--Day
market_alley_n Back_Alley--Night
takaraya Treasure_Box_Shop
night_shop Bombchu_Shop
impa Puppy_Woman's_House
kakariko3 Back_Alley_House
shrine Outside_Temple_of_Time--Child_Day
shrine_n Outside_Temple_of_Time--Child_Night
shrine_r Outside_Temple_of_Time--Adult
tokinoma Temple_of_Time
kenjyanoma Chamber_of_Sages
hiral_demo Cutscene_Map
depth_test Depth_Test
syotes Middle_Stalfos_Test
syotes2 Boss_Stalfos_Test
sutaru Dark_Link_Test
test01 Collision_Test
besitu Texture_Test
sasatest Actor_Test
testroom Item_Test
hairal_niwa2 Courtyard_Test
